cycle,timestamp,equity,margin_used
50,1776998195.7947607,1000000.0,0.0
100,1776998195.7957666,1000000.0,0.0
150,1776998195.7957666,1000000.0,0.0
200,1776998195.7967663,1000000.0,0.0
250,1776998195.7977662,1000000.0,0.0
300,1776998195.7977662,1000000.0,0.0
350,1776998195.798766,1000000.0,0.0
400,1776998195.7997665,1000000.0,0.0
450,1776998195.7997665,1000000.0,0.0
500,1776998195.801274,1000000.0,0.0
550,1776998195.8022804,1000000.0,0.0
600,1776998195.8022804,1000000.0,0.0
650,1776998195.8037844,1000000.0,0.0
700,1776998195.8043115,1000000.0,0.0
750,1776998195.8048246,1000000.0,0.0
800,1776998195.8058293,1000000.0,0.0
850,1776998195.8058293,1000000.0,0.0
900,1776998195.8068295,1000000.0,0.0
950,1776998195.80783,1000000.0,0.0
1000,1776998195.8088288,1000000.0,0.0
1050,1776998195.8088288,1000000.0,0.0
1100,1776998195.8098297,1000000.0,0.0
1150,1776998195.8108294,1000000.0,0.0
1200,1776998195.8113341,1000000.0,0.0
1250,1776998195.8123388,1000000.0,0.0
1300,1776998195.8123388,1000000.0,0.0
1350,1776998195.8138433,1000000.0,0.0
1400,1776998195.8138433,1000000.0,0.0
